CompanyName,ASXCode,GICS
"NEOMETALS LTD",NMT,"Materials"
"NEON CAPITAL LTD",NEN,"Not Applic"
"NEPTUNE MARINE SERVICES LIMITED",NMS,"Energy"
"NETCCENTRIC LIMITED",NCL,"Media"
"NETCOMM WIRELESS LIMITED",NTC,"Technology Hardware & Equipment"
"NEUREN PHARMACEUTICALS LIMITED",NEU,"Pharmaceuticals & Biotechnology"
"NEVADA IRON LTD",NVI,"Materials"
"NEW AGE EXPLORATION LIMITED",NAE,"Energy"
"NEW GUINEA ENERGY LTD",NGE,"Energy"
"NEW HOPE CORPORATION LIMITED",NHC,"Energy"
"NEW HORIZON COAL LTD",NHO,"Energy"
"NEW STANDARD ENERGY LIMITED",NSE,"Energy"
"NEW TALISMAN GOLD MINES LIMITED",NTL,"Materials"
"NEWCREST MINING LIMITED",NCM,"Materials"
"NEWFIELD RESOURCES LIMITED",NWF,"Materials"
"NEWHAVEN HOTELS LIMITED",NHH,"Consumer Services"
"NEWS CORPORATION..",NWS,"Media"
"NEWZULU LIMITED",NWZ,"Media"
"NEX METALS EXPLORATION LIMITED",NME,"Materials"
"NEXTDC LIMITED",NXT,"Software & Services"
"NEXUS MINERALS LIMITED",NXM,"Materials"
"NIB HOLDINGS LIMITED",NHF,"Insurance"
"NICK SCALI LIMITED",NCK,"Retailing"
"NICKELORE LIMITED",NIO,"Materials"
"NIDO PETROLEUM LIMITED",NDO,"Energy"
"NINE ENTERTAINMENT CO. HOLDINGS LIMITED",NEC,"Media"
"NIUMINCO GROUP LIMITED",NIU,"Materials"
"NKWE PLATINUM LIMITED",NKP,"Materials"
"NOBLE MINERAL RESOURCES LIMITED",NMG,"Materials"
"NONI B LIMITED",NBL,"Retailing"
"NORDIC INVESTMENT BANK",NIB,"Not Applic"
"NORTHERN IRON LIMITED",NFE,"Materials"
"NORTHERN MANGANESE LIMITED",NTM,"Materials"
"NORTHERN MINERALS LIMITED",NTU,"Materials"
"NORTHERN MINING LIMITED",NMI,"Materials"
"NORTHERN STAR RESOURCES LTD",NST,"Materials"
"NORWEST ENERGY NL",NWE,"Energy"
"NORWOOD SYSTEMS LIMITED",NOR,"Software & Services"
"NOVARISE RENEWABLE RESOURCES INTERNATIONAL LIMITED",NOE,"Materials"
"NOVATTI GROUP LIMITED",NOV,"Software & Services"
"NOVOGEN LIMITED",NRT,"Pharmaceuticals & Biotechnology"
"NRW HOLDINGS LIMITED",NWH,"Capital Goods"
"NSL CONSOLIDATED LIMITED",NSL,"Materials"
"NSX LIMITED",NSX,"Diversified Financials"
"NUCOAL RESOURCES LIMITED",NCR,"Materials"
"NUENERGY GAS LIMITED",NGY,"Energy"
"NUFARM FINANCE (NZ) LIMITED",NFN,"Not Applic"
"NUFARM LIMITED",NUF,"Materials"
"NUHEARA LIMITED",NUH,"Technology Hardware & Equipment"
"NUPLEX INDUSTRIES LIMITED.",NPX,"Materials"
"NUSEP HOLDINGS LTD",NSP,"Pharmaceuticals & Biotechnology"
"NYOTA MINERALS LIMITED",NYO,"Materials"
"OAKAJEE CORPORATION LIMITED",OKJ,"Diversified Financials"
"OAKDALE RESOURCES LIMITED",OAR,"Materials"
"OBJ LIMITED",OBJ,"Pharmaceuticals & Biotechnology"
"OBJECTIVE CORPORATION LIMITED",OCL,"Software & Services"
"OCEANAGOLD CORPORATION",OGC,"Materials"
"OCEANIA CAPITAL PARTNERS LIMITED",OCP,"Diversified Financials"
"OCHRE GROUP HOLDINGS LIMITED",OGH,"Materials"
"OCTANEX N.L.",OXX,"Energy"
"ODIN ENERGY LIMITED",ODN,"Energy"
"ODYSSEY ENERGY LIMITED",ODY,"Energy"
"OIL BASINS LIMITED",OBL,"Energy"
"OIL SEARCH LIMITED",OSH,"Energy"
"OILEX LTD",OEX,"Energy"
"OILFIELD WORKFORCE GROUP LIMITED",OFW,"Commercial Services & Supplies"
"OKLO RESOURCES LIMITED",OKU,"Energy"
"OLDFIELDS HOLDINGS LIMITED",OLH,"Capital Goods"
"OM HOLDINGS LIMITED",OMH,"Materials"
"OMNI MARKET TIDE LTD",OMT,"Software & Services"
"ONCOSIL MEDICAL LTD",OSL,"Pharmaceuticals & Biotechnology"
"ONEALL INTERNATIONAL LIMITED",1AL,"Consumer Durables & Apparel"
"ONEVIEW HEALTHCARE PLC",ONE,"Health Care Equipment & Services"
"ONEVUE HOLDINGS LIMITED",OVH,"Diversified Financials"
"ONTERRAN LIMITED",OTR,"Capital Goods"
"ONTHEHOUSE HOLDINGS LIMITED",OTH,"Software & Services"
"OOH!MEDIA LIMITED",OML,"Media"
"OOKAMI LIMITED",OOK,"Automobiles & Components"
"OPTHEA LIMITED",OPT,"Pharmaceuticals & Biotechnology"
"OPTISCAN IMAGING LIMITED",OIL,"Health Care Equipment & Services"
"OPUS GROUP LIMITED",OPG,"Commercial Services & Supplies"
"ORBITAL CORPORATION LIMITED",OEC,"Automobiles & Components"
"ORCA ENERGY LIMITED",OGY,"Energy"
"ORECORP LIMITED",ORR,"Materials"
"ORH LIMITED",ORH,"Capital Goods"
"ORICA LIMITED",ORI,"Materials"
"ORIENTAL TECHNOLOGIES INVESTMENT LIMITED",OTI,"Capital Goods"
"ORIGIN ENERGY LIMITED",ORG,"Energy"
"ORINOCO GOLD LIMITED",OGX,"Materials"
"ORION EQUITIES LIMITED",OEQ,"Diversified Financials"
"ORION GOLD NL",ORN,"Materials"
"ORION HEALTH GROUP LIMITED",OHE,"Health Care Equipment & Services"
"ORION METALS LIMITED",ORM,"Materials"
"ORO VERDE LIMITED",OVL,"Materials"
"OROCOBRE LIMITED",ORE,"Materials"
"ORORA LIMITED",ORA,"Materials"
"OROTONGROUP LIMITED",ORL,"Retailing"
"ORPHEUS ENERGY LIMITED",OEG,"Energy"
"ORREX RESOURCES LTD",ORX,"Materials"
"ORTHOCELL LIMITED",OCC,"Pharmaceuticals & Biotechnology"
"OSPREY MEDICAL INC",OSP,"Health Care Equipment & Services"
"OTHERLEVELS HOLDINGS LIMITED",OLV,"Software & Services"
"OTOC LIMITED",OTC,"Commercial Services & Supplies"
"OTTO ENERGY LIMITED",OEL,"Energy"
"OVER THE WIRE HOLDINGS LIMITED",OTW,"Software & Services"
"OVERLAND RESOURCES LIMITED",OVR,"Materials"
"OZ BREWING LIMITED",OZB,"Food, Beverage & Tobacco"
"OZ MINERALS LIMITED",OZL,"Materials"
"OZFOREX GROUP LIMITED",OFX,"Diversified Financials"
"OZGROWTH LIMITED",OZG,"Not Applic"
"OZTRADE PUBLISHING GROUP LIMITED",OZT,"Class Pend"
"PACIFIC AMERICAN COAL LIMITED",PAK,"Materials"
"PACIFIC BRANDS LIMITED",PBG,"Retailing"
"PACIFIC CURRENT GROUP LIMITED",PAC,"Diversified Financials"
"PACIFIC ENERGY LIMITED",PEA,"Utilities"
"PACIFIC ENVIRONMENT LIMITED",PEH,"Commercial Services & Supplies"
"PACIFIC MINING LIMITED",PFM,"Real Estate"
"PACIFIC ORE LIMITED",PSF,"Materials"
"PACIFIC SMILES GROUP LIMITED",PSQ,"Health Care Equipment & Services"
"PACIFIC STAR NETWORK LIMITED",PNW,"Media"
"PACIFICO MINERALS LIMITED",PMY,"Materials"
"PACT GROUP HOLDINGS LTD",PGH,"Materials"
"PADBURY MINING LIMITED",PDY,"Materials"
"PALADIN ENERGY LTD",PDN,"Energy"
"PAN ASIA CORPORATION LIMITED",PZC,"Energy"
"PAN PACIFIC PETROLEUM NL",PPP,"Energy"
"PANCONTINENTAL OIL & GAS NL",PCL,"Energy"
"PANORAMA SYNERGY LTD",PSY,"Software & Services"
"PANORAMIC RESOURCES LIMITED",PAN,"Materials"
"PANTERRA GOLD LIMITED",PGI,"Materials"
"PANTORO LIMITED",PNR,"Materials"
"PAPERLINX SPS TRUST",PXU,"Not Applic"
"PAPYRUS AUSTRALIA LIMITED",PPY,"Materials"
"PARADIGM BIOPHARMACEUTICALS LIMITED..",PAR,"Pharmaceuticals & Biotechnology"
"PARADIGM METALS LIMITED",PDM,"Materials"
"PARAGON CARE LIMITED",PGC,"Health Care Equipment & Services"
"PARAMOUNT MINING CORPORATION LTD",PCP,"Materials"
"PARINGA RESOURCES LIMITED",PNL,"Energy"
"PARMELIA RESOURCES LIMITED",PML,"Materials"
"PATRYS LIMITED",PAB,"Pharmaceuticals & Biotechnology"
"PATTIES FOODS LTD",PFL,"Food, Beverage & Tobacco"
"PAWNEE ENERGY LIMITED",PAW,"Energy"
"PAYCE CONSOLIDATED LIMITED",PAY,"Real Estate"
"PAYNES FIND GOLD LIMITED",PNE,"Materials"
"PEAK RESOURCES LIMITED",PEK,"Materials"
"PEAKO LIMITED",PKO,"Energy"
"PEEL MINING LIMITED",PEX,"Materials"
"PEET LIMITED",PPC,"Real Estate"
"PEGASUS METALS LIMITED",PUN,"Materials"
"PELICAN RESOURCES LIMITED",PEL,"Materials"
"PENINSULA ENERGY LIMITED",PEN,"Energy"
"PENINSULA MINES LIMITED",PSM,"Energy"
"PENTAL LIMITED",PTL,"Household & Personal Products"
"PEPINNINI MINERALS LIMITED",PNN,"Materials"
"PEPPER GROUP LIMITED",PEP,"Diversified Financials"
"PEPPERMINT INNOVATION LIMITED",PIL,"Software & Services"
"PERPETUAL EQUITY INVESTMENT COMPANY LIMITED",PIC,"Not Applic"
"PERPETUAL LIMITED",PPT,"Diversified Financials"
"PERPETUAL RESOURCES LIMITED",PEC,"Energy"
"PERSEUS MINING LIMITED",PRU,"Materials"
"PETRATHERM LTD",PTR,"Utilities"
"PETREL ENERGY LIMITED",PRL,"Energy"
"PETSEC ENERGY LIMITED",PSA,"Energy"
"PHARMANET GROUP LIMITED",PNO,"Pharmaceuticals & Biotechnology"
"PHARMAUST LIMITED",PAA,"Pharmaceuticals & Biotechnology"
"PHARMAXIS LTD",PXS,"Pharmaceuticals & Biotechnology"
"PHILEO AUSTRALIA LIMITED",PHI,"Real Estate"
"PHOSLOCK WATER SOLUTIONS LIMITED",PHK,"Commercial Services & Supplies"
"PHOSPHAGENICS LIMITED",POH,"Pharmaceuticals & Biotechnology"
"PHOSPHATE AUSTRALIA LIMITED",POZ,"Materials"
"PHYLOGICA LIMITED",PYC,"Pharmaceuticals & Biotechnology"
"PILBARA MINERALS LIMITED",PLS,"Materials"
"PILOT ENERGY LIMITED",PGY,"Energy"
"PIONEER CREDIT LIMITED",PNC,"Diversified Financials"
"PIONEER RESOURCES LIMITED",PIO,"Materials"
"PIXIE GROUP LIMITED",PEG,"Software & Services"
"PLANET GAS LIMITED",PGS,"Energy"
"PLATINA RESOURCES LIMITED",PGM,"Materials"
"PLATINUM ASIA INVESTMENTS LIMITED",PAI,"Not Applic"
"PLATINUM ASSET MANAGEMENT LIMITED",PTM,"Diversified Financials"
"PLATINUM CAPITAL LIMITED",PMC,"Diversified Financials"
"PLATYPUS MINERALS LTD",PLP,"Materials"
"PLUKKA LIMITED",PKA,"Diversified Financials"
"PLUTON RESOURCES LIMITED",PLV,"Materials"
"PLYMOUTH MINERALS LIMITED",PLH,"Materials"
"PM CAPITAL ASIAN OPPORTUNITIES FUND LIMITED",PAF,"Not Applic"
"PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED",PGF,"Not Applic"
"PMP LIMITED",PMP,"Commercial Services & Supplies"
"PNX METALS LIMITED",PNX,"Materials"
"PO VALLEY ENERGY LIMITED",PVE,"Energy"
"POLYNOVO LIMITED",PNV,"Pharmaceuticals & Biotechnology"
"POSEIDON NICKEL LIMITED",POS,"Materials"
"POTASH WEST NL",PWN,"Materials"
"POWER RESOURCES LIMITED",PWW,"Materials"
"PPK GROUP LIMITED",PPK,"Capital Goods"
"PRAEMIUM LIMITED",PPS,"Software & Services"
"PRAIRIE MINING LIMITED",PDZ,"Materials"
"PRANA BIOTECHNOLOGY LIMITED",PBT,"Pharmaceuticals & Biotechnology"
"PREDICTIVE DISCOVERY LIMITED",PDI,"Materials"
"PREMIER INVESTMENTS LIMITED",PMV,"Retailing"
"PREMIERE EASTERN ENERGY LIMITED",PEZ,"Energy"
"PRESCIENT THERAPEUTICS LIMITED",PTX,"Pharmaceuticals & Biotechnology"
"PRIMA BIOMED LTD",PRR,"Pharmaceuticals & Biotechnology"
"PRIMARY GOLD LIMITED",PGO,"Materials"
"PRIMARY HEALTH CARE LIMITED",PRY,"Health Care Equipment & Services"
"PRIMARY OPINION LIMITED",POP,"Software & Services"
"PRIME FINANCIAL GROUP LIMITED",PFG,"Diversified Financials"
"PRIME MEDIA GROUP LIMITED",PRT,"Media"
"PRO MEDICUS LIMITED",PME,"Health Care Equipment & Services"
"PRO-PAC PACKAGING LIMITED",PPG,"Materials"
"PROBIOTEC LIMITED",PBP,"Pharmaceuticals & Biotechnology"
"PROGRAMMED MAINTENANCE SERVICES LIMITED",PRG,"Commercial Services & Supplies"
"PROGRESS 2010-1 TRUST",POB,"Not Applic"
"PROMESA LIMITED",PRA,"Materials"
"PROPERTY CONNECT HOLDINGS LIMITED",PCH,"Software & Services"
"PROPHECY INTERNATIONAL HOLDINGS LIMITED",PRO,"Software & Services"
"PROSPECT RESOURCES LIMITED",PSC,"Materials"
"PROSPERITY RESOURCES LIMITED",PSP,"Materials"
"PROTEAN WAVE ENERGY LTD",POW,"Capital Goods"
"PROTEOMICS INTERNATIONAL LABORATORIES LTD",PIQ,"Pharmaceuticals & Biotechnology"
"PROTO RESOURCES & INVESTMENTS LTD",PRW,"Materials"
"PROVINCE OF ONTARIO",PON,"Not Applic"
"PS&C LIMITED",PSZ,"Commercial Services & Supplies"
"PSC INSURANCE GROUP LIMITED",PSI,"Insurance"
"PSIVIDA CORP.",PVA,"Pharmaceuticals & Biotechnology"
"PTB GROUP LIMITED",PTB,"Capital Goods"
"PUBLIC HOLDINGS (AUSTRALIA) LIMITED",PHA,"Diversified Financials"
"PULSE HEALTH LIMITED",PHG,"Health Care Equipment & Services"
"PUMA MASTERFUND H-1",PUH,"Not Applic"
"PUMA MASTERFUND P-13",PUI,"Not Applic"
"PUMA MASTERFUND P-16",PUB,"Not Applic"
"PUMA MASTERFUND S-6",PUD,"Not Applic"
"PUMA MASTERFUND S-8",PUG,"Not Applic"
"PUMA SERIES 2013-1",PUJ,"Not Applic"
"PUMA SERIES 2014-1",PUK,"Not Applic"
"PUMA SERIES 2014-2",PUO,"Not Applic"
"PUMA SERIES 2014-4P",PUQ,"Not Applic"
"PUMA SERIES 2015-1",PUU,"Not Applic"
"PUMA SERIES 2015-3",PUV,"Not Applic"
"PURA VIDA ENERGY NL",PVD,"Energy"
"PUREPROFILE LTD",PPL,"Software & Services"
"PWR HOLDINGS LIMITED",PWH,"Automobiles & Components"
"Q TECHNOLOGY GROUP LIMITED",QTG,"Technology Hardware & Equipment"
"QANTAS AIRWAYS LIMITED",QAN,"Transportation"
"QBE INSURANCE GROUP LIMITED",QBE,"Insurance"
"QMS MEDIA LIMITED",QMS,"Media"
"QRXPHARMA LTD",QRX,"Pharmaceuticals & Biotechnology"
"QUANTUM ENERGY LIMITED.",QTM,"Consumer Durables & Apparel"
"QUANTUM RESOURCES LIMITED",QUR,"Materials"
"QUBE HOLDINGS LIMITED",QUB,"Transportation"
"QUEBEC",QBC,"Not Applic"
"QUEENSLAND BAUXITE LIMITED",QBL,"Materials"
"QUEENSLAND MINING CORPORATION LIMITED",QMN,"Materials"
"QUEENSLAND TREASURY CORPORATION",XQL,"Not Applic"
"QUEST INVESTMENTS LIMITED",QST,"Diversified Financials"
"QUEST MINERALS LIMITED",QNL,"Materials"
"QUESTE COMMUNICATIONS LIMITED",QUE,"Telecommunication Services"
"QUESTUS LIMITED",QSS,"Diversified Financials"
"QUICKFLIX LIMITED",QFX,"Retailing"
"QUICKSTEP HOLDINGS LIMITED",QHL,"Capital Goods"
"QV EQUITIES LIMITED",QVE,"Not Applic"
"RADAR IRON LIMITED",RAD,"Materials"
"RAFFLES CAPITAL LIMITED",RAF,"Diversified Financials"
"RAM RESOURCES LIMITED",RMR,"Materials"
"RAMELIUS RESOURCES LIMITED",RMS,"Materials"
"RAMS MORTGAGE SECURITIES TRUST SERIES 2006-1",RMM,"Not Applic"
"RAMS MORTGAGE SECURITIES TRUST SERIES 2007-1HE",RMB,"Not Applic"
"RAMS MORTGAGE SECURITIES TRUST SERIES 2007-2H",RMH,"Not Applic"
"RAMS MORTGAGE SECURITIES TRUST SERIES 2007-3",RMF,"Not Applic"
"RAMSAY HEALTH CARE LIMITED",RHC,"Health Care Equipment & Services"
"RAND MINING LIMITED",RND,"Materials"
"RANGE RESOURCES LIMITED",RRS,"Energy"
"RAPTIS GROUP LIMITED",RPG,"Real Estate"
"RAWSON RESOURCES LIMITED",RAW,"Energy"
"RBR GROUP LIMITED",RBR,"Materials"
"RCG CORPORATION LIMITED",RCG,"Retailing"
"RCR TOMLINSON LIMITED",RCR,"Capital Goods"
"REA GROUP LTD",REA,"Media"
"REAL ENERGY CORPORATION LIMITED",RLE,"Energy"
"REAL ESTATE CAPITAL PARTNERS USA PROPERTY TRUST",RCU,"Real Estate"
"REAL ESTATE INVESTAR GROUP LIMITED",REV,"Software & Services"
"REALM RESOURCES LIMITED",RRP,"Materials"
"RECCE LIMITED",RCE,"Pharmaceuticals & Biotechnology"
"RECKON LIMITED",RKN,"Software & Services"
"RECTIFIER TECHNOLOGIES LTD",RFT,"Capital Goods"
"RED 5 LIMITED",RED,"Materials"
"RED EMPEROR RESOURCES NL",RMP,"Energy"
"RED HILL IRON LIMITED",RHI,"Materials"
"RED METAL LIMITED",RDM,"Materials"
"RED MOUNTAIN MINING LIMITED",RMX,"Materials"
"RED RIVER RESOURCES LIMITED",RVR,"Materials"
"RED SKY ENERGY LIMITED.",ROG,"Energy"
"REDBANK COPPER LIMITED",RCP,"Materials"
"REDBANK ENERGY LIMITED",AEJ,"Utilities"
"REDBUBBLE LIMITED",RBL,"Software & Services"
"REDCHIP INTERNATIONAL LIMITED",R3D,"Capital Goods"
"REDFLEX HOLDINGS LIMITED",RDF,"Technology Hardware & Equipment"
"REDFLOW LIMITED",RFX,"Capital Goods"
"REDHILL EDUCATION LIMITED",RDH,"Consumer Services"
"REDSTONE RESOURCES LIMITED",RDS,"Materials"
"REECE LIMITED",REH,"Capital Goods"
"REEDY LAGOON CORPORATION LIMITED",RLC,"Materials"
"REEF CASINO TRUST",RCT,"Consumer Services"
"REFFIND LIMITED",RFN,"Software & Services"
"REFRESH GROUP LIMITED",RGP,"Food, Beverage & Tobacco"
"REGAL RESOURCES LIMITED",RER,"Materials"
"REGALPOINT RESOURCES LIMITED",RGU,"Energy"
"REGENEUS LTD",RGS,"Pharmaceuticals & Biotechnology"
"REGIONAL EXPRESS HOLDINGS LIMITED",REX,"Transportation"
"REGIS HEALTHCARE LIMITED",REG,"Health Care Equipment & Services"
"REGIS RESOURCES LIMITED",RRL,"Materials"
"RELIANCE WORLDWIDE CORPORATION LIMITED",RWC,"Capital Goods"
"RENAISSANCE MINERALS LIMITED",RNS,"Materials"
"RENASCOR RESOURCES LIMITED",RNU,"Energy"
"RENT.COM.AU LIMITED",RNT,"Software & Services"
"REPRODUCTIVE HEALTH SCIENCE LIMITED",RHS,"Pharmaceuticals & Biotechnology"
"RESAPP HEALTH LIMITED",RAP,"Health Care Equipment & Services"
"RESIMAC TRIOMPHE TRUST",RTT,"Not Applic"
"RESMED INC",RMD,"Health Care Equipment & Services"
"RESOLUTE MINING LIMITED",RSG,"Materials"
"RESONANCE HEALTH LIMITED",RHT,"Health Care Equipment & Services"
"RESOURCE BASE LIMITED",RBX,"Materials"
"RESOURCE DEVELOPMENT GROUP LIMITED",RDG,"Capital Goods"
"RESOURCE GENERATION LIMITED",RES,"Energy"
"RESOURCE MINING CORPORATION LIMITED",RMI,"Materials"
"RESOURCES & ENERGY GROUP LIMITED",REZ,"Energy"
"RESPIRI LIMITED",RSH,"Health Care Equipment & Services"
"RETAIL FOOD GROUP LIMITED",RFG,"Consumer Services"
"REVA MEDICAL, INC",RVA,"Health Care Equipment & Services"
"REVERSE CORP LIMITED",REF,"Telecommunication Services"
"REWARD MINERALS LTD",RWD,"Materials"
"REWARDLE HOLDINGS LIMITED",RXH,"Software & Services"
"REX MINERALS LIMITED",RXM,"Materials"
"REY RESOURCES LIMITED",REY,"Energy"
"RHINOMED LIMITED",RNO,"Pharmaceuticals & Biotechnology"
"RHIPE LIMITED",RHP,"Software & Services"
"RICHFIELD INTERNATIONAL LIMITED",RIS,"Transportation"
"RIDLEY CORPORATION LIMITED",RIC,"Food, Beverage & Tobacco"
"RIEDEL RESOURCES LIMITED",RIE,"Materials"
"RIFT VALLEY RESOURCES LIMITED.",RVY,"Materials"
"RIMFIRE PACIFIC MINING NL",RIM,"Materials"
"RIO TINTO LIMITED",RIO,"Materials"
"RISION LIMITED",RNL,"Commercial Services & Supplies"
"RIVER ROCK ENERGY LIMITED",RRR,"Class Pend"
"RMA ENERGY LIMITED",RMT,"Materials"
"RMG LIMITED",RMG,"Materials"
"RNI NL.",RNI,"Materials"
"RNY PROPERTY TRUST",RNY,"Real Estate"
"RONGTAI INTERNATIONAL GROUP HOLDINGS LIMITED",RIG,"Capital Goods"
"ROX RESOURCES LIMITED",RXL,"Materials"
"ROYAL WOLF HOLDINGS LIMITED",RWH,"Commercial Services & Supplies"
"ROYALCO RESOURCES LIMITED",RCO,"Materials"
"RTG MINING INC.",RTG,"Materials"
"RUBICOR GROUP LIMITED",RUB,"Commercial Services & Supplies"
"RUBIK FINANCIAL LIMITED",RFL,"Software & Services"
"RUM JUNGLE RESOURCES LTD",RUM,"Materials"
"RUMBLE RESOURCES LIMITED",RTR,"Materials"
"RUNGEPINCOCKMINARCO LIMITED",RUL,"Software & Services"
"RURAL FUNDS GROUP",RFF,"Real Estate"
"RURALCO HOLDINGS LIMITED",RHL,"Retailing"
"RXP SERVICES LIMITED",RXP,"Software & Services"
"RYDER CAPITAL LIMITED",RYD,"Not Applic"
"S2 RESOURCES LTD",S2R,"Materials"
"SABRE RESOURCES LIMITED",SBR,"Materials"
"SACGASCO LIMITED",SGC,"Energy"
"SAFEROADS HOLDINGS LIMITED",SRH,"Capital Goods"
"SAGALIO ENERGY LIMITED",SAN,"Materials"
"SAI GLOBAL LIMITED",SAI,"Commercial Services & Supplies"
"SALMAT LIMITED",SLM,"Commercial Services & Supplies"
"SALT LAKE POTASH LIMITED",SO4,"Energy"
"SAMSON OIL & GAS LIMITED",SSN,"Energy"
"SANDFIRE RESOURCES NL",SFR,"Materials"
"SANDON CAPITAL INVESTMENTS LIMITED",SNC,"Not Applic"
"SANTANA MINERALS LIMITED",SMI,"Materials"
"SANTOS LIMITED",STO,"Energy"
"SARACEN MINERAL HOLDINGS LIMITED",SAR,"Materials"
"SAUNDERS INTERNATIONAL LIMITED",SND,"Capital Goods"
"SAYONA MINING LIMITED",SYA,"Materials"
"SCENTRE GROUP",SCG,"Real Estate"
"SCENTRE GROUP TRUST 1",SCW,"Real Estate"
"SCENTRE GROUP TRUST 1 AND SCENTRE GROUP TRUST 2",SCA,"Not Applic"
"SCHAFFER CORPORATION LIMITED",SFC,"Automobiles & Components"
"SCIGEN LIMITED",SIE,"Pharmaceuticals & Biotechnology"
"SCOTGOLD RESOURCES LIMITED",SGZ,"Materials"
"SDI LIMITED",SDI,"Health Care Equipment & Services"
"SEAFARMS GROUP LIMITED",SFG,"Food, Beverage & Tobacco"
"SEALINK TRAVEL GROUP LIMITED",SLK,"Consumer Services"
"SECOS GROUP LTD",SES,"Materials"
"SECURITISED AUSTRALIAN MORTGAGE TRUST 2008-1",SAJ,"Not Applic"
"SECURITISED AUSTRALIAN MORTGAGE TRUST 2011-1",SAC,"Not Applic"
"SEEK LIMITED",SEK,"Commercial Services & Supplies"
"SEGUE RESOURCES LIMITED",SEG,"Materials"
"SELECT HARVESTS LIMITED",SHV,"Food, Beverage & Tobacco"
"SENETAS CORPORATION LIMITED",SEN,"Technology Hardware & Equipment"
"SENEX ENERGY LIMITED",SXY,"Energy"
"SEQUOIA FINANCIAL GROUP LTD",SEQ,"Diversified Financials"
"SERIES 2007-1 HARVEY TRUST",HTV,"Not Applic"
"SERIES 2007-2 REDS TRUST",REQ,"Not Applic"
"SERIES 2009-1 WST TRUST",WSC,"Not Applic"
"SERIES 2010-1 REDS TRUST",REK,"Not Applic"
"SERIES 2010-2 REDS TRUST",RDA,"Not Applic"
"SERIES 2011-1 WST TRUST",WSH,"Not Applic"
"SERIES 2011-2 WST TRUST",WSJ,"Not Applic"
"SERIES 2011-3 WST TRUST",WSN,"Not Applic"
"SERIES 2012-1 WST TRUST",WSO,"Not Applic"
"SERIES 2012-1E REDS EHP TRUST",RFA,"Not Applic"
"SERIES 2012-1E REDS TRUST",RFB,"Not Applic"
"SERIES 2013-1 HARVEY TRUST",HTB,"Not Applic"
"SERIES 2013-1 WST TRUST",WSQ,"Not Applic"
"SERIES 2013-2 WST TRUST",WSD,"Not Applic"
"SERIES 2014-1 WST TRUST",WSZ,"Not Applic"
"SERIES 2014-2 WST TRUST",WEK,"Not Applic"
"SERIES 2015-1 WST TRUST",WEJ,"Not Applic"
"SERVCORP LIMITED",SRV,"Real Estate"
"SERVICE STREAM LIMITED",SSM,"Capital Goods"
"SEVEN GROUP HOLDINGS LIMITED",SVW,"Capital Goods"
"SEVEN WEST MEDIA LIMITED",SWM,"Media"
"SEYMOUR WHYTE LIMITED",SWL,"Capital Goods"
"SG FLEET GROUP LIMITED",SGF,"Commercial Services & Supplies"
"SHAREROOT LTD",SRO,"Software & Services"
"SHARK MITIGATION SYSTEMS LIMITED",SM8,"Technology Hardware & Equipment"
"SHAW RIVER MANGANESE LIMITED",SRR,"Materials"
"SHEFFIELD RESOURCES LIMITED",SFX,"Materials"
"SHENHUA INTERNATIONAL LIMITED",SHU,"Consumer Durables & Apparel"
"SHINE CORPORATE LTD",SHJ,"Consumer Services"
"SHOPLY LIMITED",SHP,"Retailing"
"SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP",SCP,"Real Estate"
"SHREE MINERALS LIMITED",SHH,"Materials"
"SHRIRO HOLDINGS LIMITED",SHM,"Consumer Durables & Apparel"
"SIBURAN RESOURCES LIMITED",SBU,"Materials"
"SIETEL LIMITED",SSL,"Real Estate"
"SIGMA PHARMACEUTICALS LIMITED",SIP,"Health Care Equipment & Services"
"SIHAYO GOLD LIMITED",SIH,"Materials"
"SILEX SYSTEMS LIMITED",SLX,"Semiconductors & Semiconductor Equipment"
"SILVER CHEF LIMITED",SIV,"Capital Goods"
"SILVER CITY MINERALS LIMITED",SCI,"Materials"
"SILVER LAKE RESOURCES LIMITED",SLR,"Materials"
"SILVER MINES LIMITED",SVL,"Materials"
"SIMAVITA LIMITED",SVA,"Health Care Equipment & Services"
"SIMONDS GROUP LIMITED",SIO,"Consumer Durables & Apparel"
"SIMS METAL MANAGEMENT LIMITED",SGM,"Materials"
"SINO AUSTRALIA OIL & GAS LIMITED",SAO,"Energy"
"SINO GAS & ENERGY HOLDINGS LIMITED",SEH,"Energy"
"SINO-EXCEL ENERGY LIMITED",SLE,"Commercial Services & Supplies"
"SINOVUS MINING LIMITED",SNV,"Materials"
"SIPA RESOURCES LIMITED",SRI,"Materials"
"SIRTEX MEDICAL LIMITED",SRX,"Pharmaceuticals & Biotechnology"
"SITE GROUP INTERNATIONAL LIMITED",SIT,"Consumer Services"
"SIV ASSET MANAGEMENT LIMITED",SAM,"Diversified Financials"
"SKIN ELEMENTS LIMITED",SKN,"Class Pend"
"SKY AND SPACE GLOBAL LTD",SAS,"Energy"
"SKY NETWORK TELEVISION LIMITED.",SKT,"Media"
"SKYCITY ENTERTAINMENT GROUP LIMITED",SKC,"Consumer Services"
"SKYDIVE THE BEACH GROUP LIMITED",SKB,"Consumer Services"
